QPR Domain,Mathematical Formulation
Mixed-Integer Polynomial,$\min_{x \in \mathbb{R}^n} \left\{ \frac{1}{2}x^T P x + q^T x + \sum_i \delta_i (x_i \in \mathbb{Z}) + \sum_j \gamma_j p_j(x) \right\}$
Combinatorial Optimization,"$\min_{x \in [0,1]^n} \left\{ \frac{1}{2}x^T P x + q^T x + \sum_i s_i \right\}, \text{ subject to relaxed discrete constraints}$"
Integer Programming,"$\min_{x \in [0,1]^n} \left\{ \frac{1}{2}x^T P x + q^T x + \lambda \sum_i |x_i - \text{round}(x_i)| \right\}$"
Semidefinite Programming (SDP),"$\min_{X \succeq 0} \left\{ \text{tr}(PX) + q^T x \right\}, \text{ where } X \approx xx^T$"
Polynomial Optimization,$\min_{x \in \mathbb{R}^n} \left\{ \sum_i \left(\frac{1}{2}x^T P_i x + q_i^T x\right) + \text{slack for } x^d \text{ terms} \right\}$
Non-convex Optimization,"$\min_{x \in \mathbb{R}^n} \left\{ \frac{1}{2}x^T P x + q^T x + \sum_k \epsilon_k \right\}, \text{ using convex outer bounds}$"
Markov Blanket Inference,$\min_{b} \left\{ \frac{1}{2} b^T P b + q^T b + \alpha \|b - As\|^2 + \kappa \|b - o\|^2 \right\}$
Stochastic Optimization,$\min_{x \in \mathbb{R}^n} \mathbb{E}_\xi \left[ \frac{1}{2}x^T P(\xi) x + q(\xi)^T x \right] + \text{VarPenalty}(x)$
Robust Optimization,$\min_{x \in \mathbb{R}^n} \max_{u \in \mathcal{U}} \left\{ \frac{1}{2}x^T P(u) x + q(u)^T x \right\}$
Large-Scale Optimization,"$\min_{x \in \mathbb{R}^n} \left\{ \sum_{k=1}^K \left(\frac{1}{2}x_k^T P_k x_k + q_k^T x_k\right) \right\}, \text{ block-decomposed}$"
